full_date,date_key,year,quarter,quarter_name,month,month_name,month_short,year_month,day_of_month,day_of_week,day_name,day_short,week_of_year,is_weekend,season,holiday_name,is_holiday,is_trading_day
2015-03-27,20150327,2015,1,Q1,3,March,Mar,2015-03,27,5,Friday,Fri,13,False,Spring,,False,True
2015-03-28,20150328,2015,1,Q1,3,March,Mar,2015-03,28,6,Saturday,Sat,13,True,Spring,,False,True
2015-03-29,20150329,2015,1,Q1,3,March,Mar,2015-03,29,7,Sunday,Sun,13,True,Spring,,False,True
2015-03-30,20150330,2015,1,Q1,3,March,Mar,2015-03,30,1,Monday,Mon,14,False,Spring,,False,True
2015-03-31,20150331,2015,1,Q1,3,March,Mar,2015-03,31,2,Tuesday,Tue,14,False,Spring,,False,True
2015-04-01,20150401,2015,2,Q2,4,April,Apr,2015-04,1,3,Wednesday,Wed,14,False,Spring,,False,True
2015-04-02,20150402,2015,2,Q2,4,April,Apr,2015-04,2,4,Thursday,Thu,14,False,Spring,,False,True
2015-04-03,20150403,2015,2,Q2,4,April,Apr,2015-04,3,5,Friday,Fri,14,False,Spring,Good Friday,True,True
2015-04-04,20150404,2015,2,Q2,4,April,Apr,2015-04,4,6,Saturday,Sat,14,True,Spring,,False,True
2015-04-05,20150405,2015,2,Q2,4,April,Apr,2015-04,5,7,Sunday,Sun,14,True,Spring,,False,True
2015-04-06,20150406,2015,2,Q2,4,April,Apr,2015-04,6,1,Monday,Mon,15,False,Spring,,False,True
2015-04-07,20150407,2015,2,Q2,4,April,Apr,2015-04,7,2,Tuesday,Tue,15,False,Spring,,False,True
2015-04-08,20150408,2015,2,Q2,4,April,Apr,2015-04,8,3,Wednesday,Wed,15,False,Spring,,False,True
2015-04-09,20150409,2015,2,Q2,4,April,Apr,2015-04,9,4,Thursday,Thu,15,False,Spring,,False,True
2015-04-10,20150410,2015,2,Q2,4,April,Apr,2015-04,10,5,Friday,Fri,15,False,Spring,,False,True
2015-04-11,20150411,2015,2,Q2,4,April,Apr,2015-04,11,6,Saturday,Sat,15,True,Spring,,False,True
